ID,Type,Rank,RanktoInt,Atk,Name,Description,Area,PrefabAddress
WEAPON_001,단검,일반,0,10,"낡은 단검","어디서나 볼 수 있는 평범한 단검. 호신용으로나 쓸만하다.","0.8;1.5",OldDagger
WEAPON_002,단검,일반,0,8,"노예의 단검","과거 투기장에서 노예들이 사용하던 날이 무딘 단검. 절박함이 묻어난다.","0.7;1.4",SlaveDagger
WEAPON_003,단검,일반,0,12,"정보상의 호신용 나이프","[가렛 전용] 가렛이 정보상 일을 시작했을 때부터 사용한 평범한 나이프. 손에 익어 사용하기 편하다.","0.8;1.6",InformationBrokersKnife
WEAPON_004,단검,고급,1,20,"그림자 상회의 호신용 단검","정보상 가렛이 속한 그림자 상회의 하급 조직원들이 사용하는 단검. 평범해 보이지만 무게중심이 잘 잡혀있다.","0.9;1.7",ShadowGuildDagger
WEAPON_005,단검,고급,1,22,"그림자 상회의 거래용 단검","[가렛 전용] 그림자 상회에서 거래를 성사시킬 때 증표로 사용하는 단검. 칼날이 매우 날카롭다.","0.9;1.8",ShadowGuildTradingDagger
WEAPON_006,단검,고급,1,25,"독침 거미의 어금니 단검","(몬스터) 알케미아 지하의 독침 거미 어금니로 만든 단검. 약한 맹독을 품고 있다.","0.8;1.6",PoisonfangDagger
WEAPON_007,단검,희귀,2,35,"'들리지 않는 속삭임'","[가렛 전용] 소리 없이 적의 등 뒤를 노리는 암살자를 위한 단검. 치명타 공격 시 일정 확률로 적을 침묵 상태로 만든다.","1.0;1.8",UnheardWhisper
WEAPON_008,단검,영웅,3,42,"'드래곤 투스'","(몬스터) 드래곤스파인 산맥의 와이번 심장에서 나온 '용의 이빨'로 만든 궁극의 단검. 모든 방어구를 꿰뚫는다 전해진다.","1.1;1.9",DragonTooth
WEAPON_009,단검,영웅,3,45,"'계약자의 비수'","[가렛 전용] 그림자 상회의 마스터만이 소유할 수 있다는 전설적인 단검. 이 단검으로 맺은 계약은 절대 깨뜨릴 수 없다.","1.2;2.0",ContractorsDagger
WEAPON_010,도끼,일반,0,18,"사냥꾼의 손도끼","숲에서 나무를 베거나 짐승을 사냥할 때 사용하는 실용적인 도끼.","1.5;1.5",HuntersHandAxe
WEAPON_011,도끼,일반,0,20,"북방 부족의 뼈 도끼","북벽 너머 야만 부족이 사용하는 조잡한 도끼. 동물의 뼈와 돌을 엮어 만들었다.","1.6;1.4",NorthernTribeBoneAxe
WEAPON_012,도끼,일반,0,16,"광부의 곡괭이","드래곤스파인 산맥의 광부들이 사용하는 단단한 곡괭이. 무기로도 쓸만하다.","1.4;1.4",MinersPickaxe
WEAPON_013,도끼,고급,1,35,"드워프의 강철 도끼","드래곤스파인 산맥의 드워프 대장장이가 제련한 무거운 강철 도끼. 바위도 쪼갤 기세다.","1.8;1.6",DwarvenSteelAxe
WEAPON_014,도끼,고급,1,38,"해적 처형인의 도끼","포르투나의 악명 높은 해적이 사용하던 처형용 도끼. 칼날에 핏자국이 선명하다.","1.9;1.5",PirateExecutionersAxe
WEAPON_015,도끼,희귀,2,48,"북방 광전사의 쌍날도끼","혹한의 땅에서 살아가는 광전사들이 사용하는 쌍날 도끼. 휘두를수록 공격 속도가 빨라진다.","2.0;1.8",NorthernBerserkersGreataxe
WEAPON_016,도끼,희귀,2,45,"용기사 온두리스의 전투도끼","강경파 용기사 가문 온두리스의 전사들이 사용하는 전투도끼. 용의 비늘도 쪼갤 수 있다고 한다.","2.2;1.7",OndurisBattleAxe
WEAPON_017,도끼,영웅,3,65,"'거인의 분노'","(몬스터) 산맥을 떠도는 바위 거인의 척추로 만들었다는 전설의 도끼. 타격 시 지면이 울린다.","2.5;2.0",GiantsFury
